Uuid, Void/Retire, Service Name, Short Name, Concept, Service Type, Service Status
44ebd6cd-04ad-4eba-8ce1-0de4564bfd17,, Antenatal care, ANTC, 1592AAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAA, Antenatal Services, Enabled
a0f7d8a1-4fa2-418c-aa8a-9b358f43d605,, Orthopedic Service, OTHS, 164949AAAAAAAAAAAAAAAAAAAAAAAAAAAAAA, Orthopedic Services, Enabled
16435ab4-27c3-4d91-b21e-52819bd654d8,, Nutrition counseling, NUC, 1380AAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAA, Nutrition Services, Enabled
360fab13-d92b-4a9f-ad4e-0ac223e7f54c,, OPD consultation, OPDC, 160542AAAAAAAAAAAAAAAAAAAAAAAAAAAAAA, Outpatient Services, Enabled
a6790106-5e03-4f25-a9b8-277ddaa5737e,, Inpatient Consultation, INDP, 167050AAAAAAAAAAAAAAAAAAAAAAAAAAAAAA, Inpatient Servce, Enabled
9335c794-3acf-470e-a671-3820acdb50af,, Dental Service, DS, 160542AAAAAAAAAAAAAAAAAAAAAAAAAAAAAA, Dental Service, Enabled
a63beb82-b07f-4187-b697-9b823a28ac30,,AL (Artemether lumefantrine) (4* 2) 24 tabs,AL (Artemether lumefantrine) (4* 2) 24 tabs,98ba74de-b779-4662-96fa-bcd299bfb11f,Drugs,Enabled
f4ac37be-0563-4c80-a908-ab49a18a0096,,AL (Artemether lumefantrine) (3*2) 18 tabs,AL (Artemether lumefantrine) (3*2) 18 tabs,6acea817-7bd2-41ef-bcfb-f21098541927,Drugs,Enabled
b6841f6f-39a0-4b14-9fa3-da4b45d12ecb,,AL (Artemether lumefantrine) (2*2) 12 tabs,AL (Artemether lumefantrine) (2*2) 12 tabs,dc4ddc1e-85f3-44d9-a66e-cb25826b3ece,Drugs,Enabled
7c9f3958-0a3f-4713-9ac8-f99ede38b738,,AL (Artemether lumefantrine) (1* 2) 6 tabs,AL (Artemether lumefantrine) (1* 2) 6 tabs,f785c1d6-4cf8-4d1c-a926-9d1a3ad8e250,Drugs,Enabled
78a58df1-a208-483b-b99e-4f6abe534fe0,,Ascorbic acid 200mg (5 days),Ascorbic acid 200mg (5 days),a40a427a-d91e-4049-bf8a-061b4e7a404c,Drugs,Enabled
b4029a88-d2f1-441f-8c9b-26a7d63bb2d4,,Amoxlclav 1G 14 pk (clavulin brand),Amoxlclav 1G 14 pk,352bb350-aeff-40c4-9b2e-825a3024ccf2,Drugs,Enabled
406ee875-cd3f-48e1-9cf7-8b920c738679,,Amoxclav 625mg 15 pack,Amoxclav 625mg 15 pack,91ee7868-b57b-438a-884b-eb58bf6fc89f,Drugs,Enabled
0a138ea2-a01c-4e9d-9672-328b5a5c3ffa,,Aldendazole 400mg,Aldendazole,fc86ce4c-b055-4be5-b219-e6bbb86b0eb6,Drugs,Enabled
c8181f35-9eb2-4e18-acfa-c6e58408e718,,Amitriptyline 25mg,Amitriptyline,502f9292-97fc-488d-a75a-d060424039f7,Drugs,Enabled
18ae520d-0610-4e01-8c08-7d46a31af27b,,Amlodipine 5mg 28pk,Amlodipine,e9207386-cb95-438a-8436-8cf1e5837077,Drugs,Enabled
b391432b-280e-47c6-aee0-012e0169b4db,,Amlodipine + Nebivolol (Nebilong AM),Amlodipine + Nebivolol (Nebilong AM),64a9d255-0fc9-45f7-84cc-0d1c4e4d832e,Drugs,Enabled
f6e1859c-6812-4153-9ef2-1f7b40da5877,,Aminosidine 250mg,Aminosidine,96ef651b-56c7-4cd7-bb65-8880dcecaa8e,Drugs,Enabled
a9b9ece3-fc71-4d01-a8cc-da0fdd18f72b,,Amlozar H,Amlozar H,02a4b852-4411-4083-b832-e962bf899d02,Drugs,Enabled
15500b12-e9eb-4a9a-9fa9-45d6bd6dc660,,Azithromycin 250mg 6pk,Azithromycin,9303c071-955d-4cad-a897-ec03ffb6f042,Drugs,Enabled
1bcd7cbf-6010-4489-8643-947ee4794d42,,Azithromycin 500mg 3pk,Azithromycin,9303c071-955d-4cad-a897-ec03ffb6f042,Drugs,Enabled
6e961378-043f-4a4b-ae3a-65ff5ac45210,,Augmentin Clavulin Brand 625mg,Augmentin Clavulin Brand,9e6e513c-b9d3-48a5-8bde-2b665cdf51e1,Drugs,Enabled
08b39917-d22d-4b40-aa68-2985a956f8f5,,Augmentin Clavulin Brand 1000mg(1gm),Augmentin Clavulin Brand,9e6e513c-b9d3-48a5-8bde-2b665cdf51e1,Drugs,Enabled
9e933122-2953-43cd-99b2-ed225bc18c83,,Augmentin original (Augmentin brand),Augmentin original (Augmentin brand),47e6c3bd-fe3d-4f23-b90c-a3cbd908ba5b,Drugs,Enabled
