Uuid,Name,Price,Payment Mode,Stock Item,Billable Service
1df3721c-1760-4230-ae34-61f6372f1943,Cash,200.00,526bf278-ba81-4436-b867-c2f6641d060a,,a63beb82-b07f-4187-b697-9b823a28ac30
b5a78d0e-fbb2-45d4-825e-da480b24283a,Cash,150.00,526bf278-ba81-4436-b867-c2f6641d060a,,f4ac37be-0563-4c80-a908-ab49a18a0096
fa6a40b2-038d-41d2-8be4-43814cd8d6f0,Cash,100.00,526bf278-ba81-4436-b867-c2f6641d060a,,b6841f6f-39a0-4b14-9fa3-da4b45d12ecb
f770ff83-9c27-4768-aad3-ab109e23f3cf,Cash,50.00,526bf278-ba81-4436-b867-c2f6641d060a,,7c9f3958-0a3f-4713-9ac8-f99ede38b738
f1c889f0-c6dd-4620-b25b-ed615bb7880b,Cash,150.00,526bf278-ba81-4436-b867-c2f6641d060a,,78a58df1-a208-483b-b99e-4f6abe534fe0
f2c3a2bc-5b9b-4f34-a6a8-42c8341d7ab8,Cash,700.00,526bf278-ba81-4436-b867-c2f6641d060a,,b4029a88-d2f1-441f-8c9b-26a7d63bb2d4
0a138ea2-a01c-4e9d-9672-328b5a5c3ffa,Cash,500.00,526bf278-ba81-4436-b867-c2f6641d060a,,406ee875-cd3f-48e1-9cf7-8b920c738679
9c4812e9-304b-40a7-ac6c-b0f2235b7b03,Cash,50.00,526bf278-ba81-4436-b867-c2f6641d060a,,0a138ea2-a01c-4e9d-9672-328b5a5c3ffa
2fb27bd8-4bd8-42f8-bbbf-533782da1a39,Cash,150.00,526bf278-ba81-4436-b867-c2f6641d060a,,c8181f35-9eb2-4e18-acfa-c6e58408e718
f277de7c-ea39-49c1-91af-fea25331fe15,Cash,150.00,526bf278-ba81-4436-b867-c2f6641d060a,,18ae520d-0610-4e01-8c08-7d46a31af27b
e3fb8c3f-758b-40d5-a550-55f4cd05e6ef,Cash,60.00 per tab,526bf278-ba81-4436-b867-c2f6641d060a,,b391432b-280e-47c6-aee0-012e0169b4db
0faeb82e-0844-4f1a-949a-989f00d5c9e1,Cash,800.00,526bf278-ba81-4436-b867-c2f6641d060a,,f6e1859c-6812-4153-9ef2-1f7b40da5877
5099370a-3ef0-4b85-8a73-d5fddedb9441,Cash,80.00 per tab,526bf278-ba81-4436-b867-c2f6641d060a,,a9b9ece3-fc71-4d01-a8cc-da0fdd18f72b
e5dfda40-3c87-45b6-ab40-f154f0cc9070,Cash,150.00,526bf278-ba81-4436-b867-c2f6641d060a,,15500b12-e9eb-4a9a-9fa9-45d6bd6dc660
00f06018-f46a-422f-aae7-f66e5360f549,Cash,100.00,526bf278-ba81-4436-b867-c2f6641d060a,,1bcd7cbf-6010-4489-8643-947ee4794d42
7c93769e-c424-4ad6-b634-f9e4c54ccde3,Cash,500.00,526bf278-ba81-4436-b867-c2f6641d060a,,6e961378-043f-4a4b-ae3a-65ff5ac45210
c85b02ae-3dc9-4586-b81d-5958f46352da,Cash,700.00,526bf278-ba81-4436-b867-c2f6641d060a,,08b39917-d22d-4b40-aa68-2985a956f8f5
d3b4b39b-47ad-4425-80d3-4eea59c8801f,Cash,1500.00,526bf278-ba81-4436-b867-c2f6641d060a,,9e933122-2953-43cd-99b2-ed225bc18c83
